algorithm,machine,size,variant,metric,value
avx2,zen5,4210,openssl-avx2,core_cycles_per_byte,1.36099450
avx2,zen5,4210,openssl-avx2,instructions_per_byte,3.50974000
avx2,zen5,4210,openssl-avx2,tsc_ticks_per_byte,0.81938391
avx2,zen5,4210,boringssl-avx2,core_cycles_per_byte,1.36192053
avx2,zen5,4210,boringssl-avx2,instructions_per_byte,3.50498935
avx2,zen5,4210,boringssl-avx2,tsc_ticks_per_byte,0.81573967
avx2,zen5,4210,intel-avx2,core_cycles_per_byte,1.43452013
avx2,zen5,4210,intel-avx2,instructions_per_byte,2.96223406
avx2,zen5,4210,intel-avx2,tsc_ticks_per_byte,0.86045473
avx2,zen5,4229,ours-avx2,core_cycles_per_byte,1.19718921
avx2,zen5,4229,ours-avx2,instructions_per_byte,5.12532639
avx2,zen5,4229,ours-avx2,tsc_ticks_per_byte,0.71961035
avx2,zen5,4229,openssl-avx2,core_cycles_per_byte,1.33435470
avx2,zen5,4229,openssl-avx2,instructions_per_byte,3.41995872
avx2,zen5,4229,openssl-avx2,tsc_ticks_per_byte,0.80838864
avx2,zen5,4229,boringssl-avx2,core_cycles_per_byte,1.33062417
avx2,zen5,4229,boringssl-avx2,instructions_per_byte,3.41522941
avx2,zen5,4229,boringssl-avx2,tsc_ticks_per_byte,0.80555795
avx2,zen5,4229,intel-avx2,core_cycles_per_byte,1.44357514
avx2,zen5,4229,intel-avx2,instructions_per_byte,3.04327395
avx2,zen5,4229,intel-avx2,tsc_ticks_per_byte,0.85885763
avx2,zen5,8900,ours-avx2,core_cycles_per_byte,1.13818344
avx2,zen5,8900,ours-avx2,instructions_per_byte,4.85730450
avx2,zen5,8900,ours-avx2,tsc_ticks_per_byte,0.68528322
avx2,zen5,8900,openssl-avx2,core_cycles_per_byte,1.27634629
avx2,zen5,8900,openssl-avx2,instructions_per_byte,3.24045072
avx2,zen5,8900,openssl-avx2,tsc_ticks_per_byte,0.76837505
avx2,zen5,8900,boringssl-avx2,core_cycles_per_byte,1.27793440
avx2,zen5,8900,boringssl-avx2,instructions_per_byte,3.23820347
avx2,zen5,8900,boringssl-avx2,tsc_ticks_per_byte,0.76821155
avx2,zen5,8900,intel-avx2,core_cycles_per_byte,1.37729512
avx2,zen5,8900,intel-avx2,instructions_per_byte,2.94764167
avx2,zen5,8900,intel-avx2,tsc_ticks_per_byte,0.82415653
avx2,zen5,8915,ours-avx2,core_cycles_per_byte,1.13576935
avx2,zen5,8915,ours-avx2,instructions_per_byte,4.86090971
avx2,zen5,8915,ours-avx2,tsc_ticks_per_byte,0.68678858
avx2,zen5,8915,openssl-avx2,core_cycles_per_byte,1.27460510
avx2,zen5,8915,openssl-avx2,instructions_per_byte,3.24677635
avx2,zen5,8915,openssl-avx2,tsc_ticks_per_byte,0.76705985
avx2,zen5,8915,boringssl-avx2,core_cycles_per_byte,1.27143171
avx2,zen5,8915,boringssl-avx2,instructions_per_byte,3.24453291
avx2,zen5,8915,boringssl-avx2,tsc_ticks_per_byte,0.76577640
avx2,zen5,8915,intel-avx2,core_cycles_per_byte,1.37401514
avx2,zen5,8915,intel-avx2,instructions_per_byte,2.94335521
avx2,zen5,8915,intel-avx2,tsc_ticks_per_byte,0.82943338
avx2,zen5,8930,ours-avx2,core_cycles_per_byte,1.13426020
avx2,zen5,8930,ours-avx2,instructions_per_byte,4.86450281
avx2,zen5,8930,ours-avx2,tsc_ticks_per_byte,0.68125017
avx2,zen5,8930,openssl-avx2,core_cycles_per_byte,1.27421408
avx2,zen5,8930,openssl-avx2,instructions_per_byte,3.25308073
avx2,zen5,8930,openssl-avx2,tsc_ticks_per_byte,0.76804210
avx2,zen5,8930,boringssl-avx2,core_cycles_per_byte,1.27218919
avx2,zen5,8930,boringssl-avx2,instructions_per_byte,3.25084109
avx2,zen5,8930,boringssl-avx2,tsc_ticks_per_byte,0.76678201
avx2,zen5,8930,intel-avx2,core_cycles_per_byte,1.37285664
avx2,zen5,8930,intel-avx2,instructions_per_byte,2.93796318
avx2,zen5,8930,intel-avx2,tsc_ticks_per_byte,0.82242354
avx2,zen5,8945,ours-avx2,core_cycles_per_byte,1.13435231
avx2,zen5,8945,ours-avx2,instructions_per_byte,4.86808383
avx2,zen5,8945,ours-avx2,tsc_ticks_per_byte,0.68213793
avx2,zen5,8945,openssl-avx2,core_cycles_per_byte,1.27450457
avx2,zen5,8945,openssl-avx2,instructions_per_byte,3.25936402
avx2,zen5,8945,openssl-avx2,tsc_ticks_per_byte,0.76845487
avx2,zen5,8945,boringssl-avx2,core_cycles_per_byte,1.27521083
avx2,zen5,8945,boringssl-avx2,instructions_per_byte,3.25712811
avx2,zen5,8945,boringssl-avx2,tsc_ticks_per_byte,0.76345444
avx2,zen5,8945,intel-avx2,core_cycles_per_byte,1.37039272
avx2,zen5,8945,intel-avx2,instructions_per_byte,2.93337182
avx2,zen5,8945,intel-avx2,tsc_ticks_per_byte,0.82920165
avx2,zen5,8960,ours-avx2,core_cycles_per_byte,1.12622833
avx2,zen5,8960,ours-avx2,instructions_per_byte,4.82109491
avx2,zen5,8960,ours-avx2,tsc_ticks_per_byte,0.67380875
avx2,zen5,8960,openssl-avx2,core_cycles_per_byte,1.26738117
avx2,zen5,8960,openssl-avx2,instructions_per_byte,3.21506816
avx2,zen5,8960,openssl-avx2,tsc_ticks_per_byte,0.76472284
avx2,zen5,8960,boringssl-avx2,core_cycles_per_byte,1.26781824
avx2,zen5,8960,boringssl-avx2,instructions_per_byte,3.21283601
avx2,zen5,8960,boringssl-avx2,tsc_ticks_per_byte,0.75783420
avx2,zen5,8960,intel-avx2,core_cycles_per_byte,1.36741560
avx2,zen5,8960,intel-avx2,instructions_per_byte,2.92009057
avx2,zen5,8960,intel-avx2,tsc_ticks_per_byte,0.82469076
avx2,zen5,8975,ours-avx2,core_cycles_per_byte,1.12660780
avx2,zen5,8975,ours-avx2,instructions_per_byte,4.82551642
avx2,zen5,8975,ours-avx2,tsc_ticks_per_byte,0.67344150
avx2,zen5,8975,openssl-avx2,core_cycles_per_byte,1.26148191
avx2,zen5,8975,openssl-avx2,instructions_per_byte,3.22217395
avx2,zen5,8975,openssl-avx2,tsc_ticks_per_byte,0.75981484
avx2,zen5,8975,boringssl-avx2,core_cycles_per_byte,1.26594786
avx2,zen5,8975,boringssl-avx2,instructions_per_byte,3.21994560
avx2,zen5,8975,boringssl-avx2,tsc_ticks_per_byte,0.76526926
avx2,zen5,8975,intel-avx2,core_cycles_per_byte,1.37627677
avx2,zen5,8975,intel-avx2,instructions_per_byte,2.99777287
avx2,zen5,8975,intel-avx2,tsc_ticks_per_byte,0.82405195
avx2,zen5,8990,ours-avx2,core_cycles_per_byte,1.12697886
avx2,zen5,8990,ours-avx2,instructions_per_byte,4.82914466
avx2,zen5,8990,ours-avx2,tsc_ticks_per_byte,0.67526095
avx2,zen5,8990,openssl-avx2,core_cycles_per_byte,1.26518029
avx2,zen5,8990,openssl-avx2,instructions_per_byte,3.22847746
avx2,zen5,8990,openssl-avx2,tsc_ticks_per_byte,0.76036563
avx2,zen5,8990,boringssl-avx2,core_cycles_per_byte,1.26510712
avx2,zen5,8990,boringssl-avx2,instructions_per_byte,3.22625261
avx2,zen5,8990,boringssl-avx2,tsc_ticks_per_byte,0.75806481
avx2,zen5,8990,intel-avx2,core_cycles_per_byte,1.37234119
avx2,zen5,8990,intel-avx2,instructions_per_byte,2.99310473
avx2,zen5,8990,intel-avx2,tsc_ticks_per_byte,0.81858585
avx2,zen5,9000,ours-avx2,core_cycles_per_byte,1.12840600
avx2,zen5,9000,ours-avx2,instructions_per_byte,4.83155672
avx2,zen5,9000,ours-avx2,tsc_ticks_per_byte,0.67524058
avx2,zen5,9000,openssl-avx2,core_cycles_per_byte,1.26276469
avx2,zen5,9000,openssl-avx2,instructions_per_byte,3.23266789
avx2,zen5,9000,openssl-avx2,tsc_ticks_per_byte,0.75474857
avx2,zen5,9000,boringssl-avx2,core_cycles_per_byte,1.26417415
avx2,zen5,9000,boringssl-avx2,instructions_per_byte,3.23044573
avx2,zen5,9000,boringssl-avx2,tsc_ticks_per_byte,0.75462613
avx2,zen5,9000,intel-avx2,core_cycles_per_byte,1.37594504
avx2,zen5,9000,intel-avx2,instructions_per_byte,2.98744573
avx2,zen5,9000,intel-avx2,tsc_ticks_per_byte,0.82334031
avx2,zen5,16384,ours-avx2,core_cycles_per_byte,1.11448741
avx2,zen5,16384,ours-avx2,instructions_per_byte,4.77478138
